StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
marvell-falcon-01,Ethernet0,str-7260-10,Ethernet1,10000,1001,Access
marvell-falcon-01,Ethernet1,str-7260-10,Ethernet2,10000,1002,Access
marvell-falcon-01,Ethernet2,str-7260-10,Ethernet3,10000,1003,Access
marvell-falcon-01,Ethernet3,str-7260-10,Ethernet4,10000,1004,Access
marvell-falcon-01,Ethernet4,str-7260-10,Ethernet5,10000,1005,Access
marvell-falcon-01,Ethernet5,str-7260-10,Ethernet6,10000,1006,Access
marvell-falcon-01,Ethernet6,str-7260-10,Ethernet7,10000,1007,Access
marvell-falcon-01,Ethernet7,str-7260-10,Ethernet8,10000,1008,Access
str-7260-11,Ethernet42,str-acs-serv-01,ens1f0,10000,1000-1008,Trunk
str-7260-11,Ethernet40,str-7260-10,Ethernet12,10000,1000-1008,Trunk
